Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
FRA,FRANCE,4.1,4.2,4.3,4.3,4.4,4.4,4.5,4.6,4.7,4.9,5.1,5.2,5.4,5.5,5.6,5.8,6.1,6.5,7.0,7.6,8.1,8.6,9.0
FSM,"MICRONESIA, FEDERATED STATES OF",38.5,39.6,40.8,42.2,43.5,44.7,46.1,47.6,48.9,50.1,51.4,52.6,53.7,54.6,55.3,55.7,55.9,55.5,55.3,55.1,54.9,54.9,55.2
GAB,GABON,62.0,64.7,67.2,69.7,72.0,74.7,77.1,78.9,80.8,82.4,83.8,84.9,85.9,86.5,87.1,87.5,88.1,88.8,89.5,90.2,91.0,91.8,92.4
GBR,UNITED KINGDOM,4.8,5.0,5.2,5.4,5.6,5.8,5.9,6.0,6.1,6.2,6.3,6.4,6.6,6.7,6.8,6.9,7.0,7.2,7.4,7.8,8.2,8.7,9.3
GEO,GEORGIA,19.9,20.7,21.5,22.2,22.9,23.7,24.6,25.6,26.8,28.1,29.8,31.8,34.1,36.5,39.1,41.7,43.7,44.8,44.6,43.0,40.4,37.4,34.7
GHA,GHANA,72.0,74.2,76.4,78.8,80.7,83.2,85.7,88.4,91.3,94.3,97.5,100.6,103.4,106.0,108.1,110.1,111.6,113.3,115.0,117.3,120.1,123.8,128.1
GIN,GUINEA,101.2,105.3,109.5,114.0,118.8,123.7,128.9,135.0,141.3,148.0,155.3,163.1,171.1,178.9,186.7,194.1,201.5,208.5,215.5,222.4,229.0,235.3,240.9
GMB,GAMBIA,72.9,75.6,78.2,81.0,84.1,87.4,91.0,94.8,98.8,103.2,107.6,111.7,116.3,120.7,125.5,130.5,135.7,141.0,146.5,152.2,157.6,163.4,169.7
GNB,GUINEA-BISSAU,129.1,133.0,137.1,141.2,145.2,148.8,152.3,155.7,159.0,162.9,166.8,170.6,174.4,178.3,181.6,185.0,188.6,192.0,195.4,198.5,201.6,203.9,206.0
GNQ,EQUATORIAL GUINEA,100.3,103.6,107.0,110.6,114.0,117.6,121.1,124.8,128.7,132.1,135.6,139.0,142.9,146.4,150.4,154.5,158.3,162.3,166.8,170.3,173.9,178.5,182.3
GRC,GREECE,4.8,4.8,4.7,4.7,4.8,4.9,5.2,5.5,5.9,6.3,6.8,7.3,7.8,8.3,8.8,9.3,9.7,10.1,10.5,10.9,11.3,11.9,12.5
GRD,GRENADA,13.5,13.8,14.0,14.2,14.4,14.5,14.7,14.9,15.1,15.3,15.5,15.6,15.9,16.1,16.4,16.8,17.3,17.9,18.6,19.4,20.3,21.2,22.1
GTM,GUATEMALA,32.0,33.1,34.3,35.5,36.8,38.2,39.7,41.3,43.0,44.7,46.5,48.5,50.6,52.8,55.1,57.6,60.3,63.1,66.2,69.5,72.9,76.5,80.4
