source,target,value,,,,
Records of Meetings Attended,People,1,,,,
Records of Meetings Attended,Place,1,,,,
Region Code - Unique Identifier,Product,1,,,,
Region of Respondant,People,1,,,,
Region of Respondant,Product,1,,,,
Requested Screen Resolution,People,1,,,,
Requested Screen Resolution,Place,1,,,,
Resource Plan - Full Time Engineers Required,Product,1,,,,
Revenue Plan by Product,Product,1,,,,
Room Motion Sensor Activity,People,1,,,,
Room Motion Sensor Activity,Place,1,,,,
Royalty - % Change,Product,1,,,,
Royalty - Gross,Product,1,,,,
Sales - % Change,Product,1,,,,
Sales - Gross,Product,1,,,,
Sales by Year by MSA,People,1,,,,
Sales by Year by MSA,Product,1,,,,
Sales by Year by Region,People,1,,,,
Sales by Year by Region,Product,1,,,,
Sales Per Year to End Customer,People,1,,,,
Sales Per Year to End Customer,Product,1,,,,
Sales Quantity by Month by Manufacturing Cell,Product,1,,,,
Sales vs Plan by MSA Region,Product,1,,,,
Self Service Usage,People,1,,,,
Shared Documents,People,1,,,,
Shared Documents,Place,1,,,,
Shipment Growth by MSA Region by Year,Product,1,,,,
Shipments by MSA Region by Year,Product,1,,,,
Spatial Recipe by Setting,Place,1,,,,
Spend on Dealer Projects,People,1,,,,
Spend on Dealer Projects,Product,1,,,,
Spend on Events Projects,People,1,,,,
Spend on Events Projects,Product,1,,,,
Spend on General Projects,People,1,,,,
Spend on General Projects,Product,1,,,,
Spend on Marketing Projects,People,1,,,,
Spend on Marketing Projects,Product,1,,,,
Spend on Sales Projects,People,1,,,,
Spend on Sales Projects,Product,1,,,,
Spend on Sales Projects by Region,People,1,,,,
Spend on Sales Projects by Region,Product,1,,,,
Spend on Warranty - % Change,Product,1,,,,
Spend on Warranty - Gross,Product,1,,,,
Square Feet Needed for Designed Configuration,Place,1,,,,
Start Order Entry,Product,1,,,,
Status in HDP of Product,Product,1,,,,
Status of Each Task in Development Project,Product,1,,,,
Strategic Needs Satisfied by Project,Product,1,,,,
Strategic Objective - Exceptional Accessories,Product,1,,,,
Strategic Objective - Intuitive Adaptation,Product,1,,,,
Strategic Objective - Living Office Workplace Expertise,Product,1,,,,
Strategic Objective - Ultimate Settings,Product,1,,,,
Suitability of Each Product Line to Each Setting,Place,1,,,,
Suitability of Each Product Line to Each Setting,Product,1,,,,
Suitability of Individual Products by Setting,Place,1,,,,
Suitability of Individual Products by Setting,Product,1,,,,
Target Product Cost,Product,1,,,,
Target Sales by MSA Region by Segment by Year,Product,1,,,,
Target Sales by MSA Region by Year,Product,1,,,,
Technology Needed For Setting,Place,1,,,,
Test Classification,Product,1,,,,
Test Request Number,Product,1,,,,
Test Status,Product,1,,,,
Tools Company Offers to Let Teams Collaborate Virtually,People,1,,,,
Tools Company Offers to Let Teams Collaborate Virtually,Product,1,,,,
Tools Used for Test,Product,1,,,,
Top Brochures Shipped - Storage,Product,1,,,,
Top Brochures Shipped - Workstations,Product,1,,,,
Top Brochures Shipped by Product,Product,1,,,,
Top Drivers of Change for Workplace Portfolio at Respondant's Company,People,1,,,,
Top Drivers of Change for Workplace Portfolio at Respondant's Company,Product,1,,,,
Top Potential Customers by MSA Region,Product,1,,,,
Top Web Assets Downloaded from HermanMiller.com by Category,Product,1,,,,
Total Investment Needed by Project,Product,1,,,,
Total Number of Online Accounts,People,1,,,,
Total Number of Online Sales,Product,1,,,,
Total Sales by Data or Order,Product,1,,,,
Total Sales by Product SKU,Product,1,,,,
Website Satisfaction - HermanMiller.com,People,1,,,,
Website Traffic Age Composition by Page,People,1,,,,
Website Traffic by Career Status by Page,People,1,,,,
Website Traffic by Housing Attribute (Home Owners / Renters) by Page,People,1,,,,
Website Traffic by Income by Page,People,1,,,,
Website Traffic by Net Worth by Page,People,1,,,,
Website Traffic Composition by State by page on site,People,1,,,,
Website Traffic Gender Composition by Page,People,1,,,,
Website Traffic Length of Residence at Current address by Page,People,1,,,,
Website Traffic Top 4 Psychographies by Page,People,1,,,,
Website Traffic Top 5 Auto Make by Page,People,1,,,,
Website Traffic Top 5 Occupations by Page,People,1,,,,
Website Uptime,People,1,,,,
Website User Satisfaction,People,1,,,,
Where Respondant Obtains Workplace Ideas,People,1,,,,
Where Respondant Obtains Workplace Ideas,Product,1,,,,
Work Products by Pricepoint,People,1,,,,
Years HM has had relaitonship with customer,People,1,,,,
