Name,People,Product,Place,Format,Location (System),Frequency Updated,Frequency Used,Recieved From,Recieved From - Department,Used By Department 1,Used By Department 2,Used By Department 3,Used By Department 4,Linkable Data 1,Linkable Data 2,Linkable Data 3,Linkable Data 4,Unit
Projected Budget for Month by Project,,1,,PDF Document,Launch Review Group Report,Monthly,Monthly,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Time,,,
Actual Budget for Month by Project,,1,,PDF Document,Launch Review Group Report,Monthly,Monthly,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Time,,,
Date of Next Milestone for Project,,1,,PDF Document,Launch Review Group Report,Monthly,Monthly,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Time,,,
Projected 5 Year MVA Cumulative ,,1,,PDF Document,Launch Review Group Report,Monthly,Monthly,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Time,,,
Total Investment Needed by Project,,1,,PDF Document,Launch Review Group Report,Monthly,Monthly,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,,,,
Development Expense by Project,,1,,PDF Document,Launch Review Group Report,Monthly,Monthly,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Time,,,
Market Launch Expense,,1,,PDF Document,Launch Review Group Report,Monthly,Monthly,Connnie Boeve,Project Management,Marketing,Design/Development,Product Management,,Product,Time,,,
Target Product Cost,,1,,PDF Document,Launch Review Group Report,Monthly,Monthly,Connnie Boeve,Project Management,,Design/Development,Product Management,,Product,,,,
Start Order Entry,,1,,PDF Document,Launch Review Group Report,Monthly,Monthly,Connnie Boeve,Project Management,Marketing,Design/Development,Product Management,Sales,Product,,,,
12 Month Sales Forecast,,1,,PDF Document,Launch Review Group Report,Monthly,Monthly,Connnie Boeve,Project Management,Marketing,Design/Development,Product Management,Sales,Product,Time,,,
Product Development Status,,1,,PDF Document,Launch Review Group Report,Monthly,Monthly,Connnie Boeve,Project Management,,Design/Development,Product Management,,Product,Time,,,
Market Launch Status,,1,,PDF Document,Launch Review Group Report,Monthly,Monthly,Connnie Boeve,Project Management,Marketing,Design/Development,Product Management,Sales,Product,Time,,,
Project Financial Status,,1,,PDF Document,Launch Review Group Report,Monthly,Monthly,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Time,,,
Project Operations Status,,1,,PDF Document,Launch Review Group Report,Monthly,Monthly,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Time,,,
Project Market Opportunity,,1,,Document,Business Plan Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Time,,,
Project Value Proposition,,1,,Document,Business Plan Document,Once,Once,Connnie Boeve,Project Management,Marketing,Design/Development,Product Management,Sales,Product,,,,
Projected Annual Net Sales,,1,,Document,Business Plan Document,Once,Once,Connnie Boeve,Project Management,Marketing,Design/Development,Product Management,Sales,Product,Time,,,
Projected Gross Margin,,1,,Document,Business Plan Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Time,,,
Projected EVA,,1,,Document,Business Plan Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Time,,,
Projected 5 Year MVA Cumulative ,,1,,Document,Business Plan Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Time,,,
Recommended Capital Investment by Project,,1,,Document,Business Plan Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,,,,
Recommended Expense Investment by Project,,1,,Document,Business Plan Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,,,,
Projected Year 1 Sales,,1,,Document,Development Plan,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Time,,,
Projected 5 Year Sales,,1,,Document,Development Plan,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Time,,,
Projected Total Investment,,1,,Document,Development Plan,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Time,,,
Projected Gross Margin,,1,,Document,Development Plan,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Time,,,
Projected 5 Year Operating Income,,1,,Document,Development Plan,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Time,,,
Projected 5 Year MVA Cumulative ,,1,,Document,Development Plan,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Time,,,
Narrative of Project Design Principles,,1,,Document,Development Plan,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,,,,
Narrative of Product Concept,,1,,Document,Development Plan,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,,,,
Market Opportunity Analysis,,1,,Document,Development Plan,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Customer,Customer Segment,Region,
Market Criteria,,1,,Document,Development Plan,Once,Once,Connnie Boeve,Project Management,Marketing,Design/Development,Product Management,Sales,Product,Customer,,,
